"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CYCLE","CONDID","COND_STATUS_CD","FORTYPCD","FLDTYPCD","FORTYPCDCALC","MAPDEN","STDAGE","STDSZCD","FLDSZCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","BALIVE","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","CRCOVPCT_RMRS","LAND_COVER_CLASS_CD"
"47",3646497010690,3646496010690,2002,8,1,39,86901,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3646503010690,3646502010690,2002,8,1,39,88968,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3646509010690,3646508010690,2002,8,1,39,89111,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3646515010690,3646514010690,2002,8,1,39,90137,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",3646521010690,3646520010690,2002,8,1,39,90514,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3646527010690,3646526010690,2002,8,1,39,90732,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3646528010690,3646526010690,2002,8,1,39,90732,"2",2,1,999,221,999,1,0,5,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,12,12,7,NA
"54",3646535010690,3646534010690,2002,8,1,41,80405,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",3646541010690,3646540010690,2002,8,1,41,80434,"2",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",3646547010690,3646546010690,2002,8,1,41,80456,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3646553010690,3646552010690,2002,8,1,41,81411,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",3646559010690,3646558010690,2002,8,1,41,81498,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",3646565010690,3646564010690,2002,8,1,41,82541,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",3646571010690,3646570010690,2002,8,1,41,82845,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",31664477010690,31664476010690,2002,8,1,41,82912,"2",1,1,221,221,221,1,109,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.7609,42,42,42,NA
"62",3646603010690,3646602010690,2002,8,1,41,83173,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",3646609010690,3646608010690,2002,8,1,41,84427,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",3646615010690,3646614010690,2002,8,1,41,84800,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",3646621010690,3646620010690,2002,8,1,41,85330,"2",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",3646627010690,3646626010690,2002,8,1,41,85577,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",3646633010690,3646632010690,2002,8,1,41,86227,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",31664643010690,31664642010690,2002,8,1,41,86677,"2",1,1,221,221,221,1,72,1,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,69.1328,60,60,60,NA
"69",3646639010690,3646638010690,2002,8,1,41,86764,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",3646645010690,3646644010690,2002,8,1,41,87738,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",3646651010690,3646650010690,2002,8,1,41,87816,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",3646657010690,3646656010690,2002,8,1,41,87928,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",3646663010690,3646662010690,2002,8,1,41,88004,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",3646669010690,3646668010690,2002,8,1,41,88019,"2",1,1,221,221,221,1,88,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,23.9448,17,17,19,NA
"75",31664690010690,31664689010690,2002,8,1,41,88662,"2",1,1,201,201,201,1,101,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,80.8354,70,77,70,NA
"76",31664691010690,31664689010690,2002,8,1,41,88662,"2",2,1,221,221,221,1,149,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,110.5775,62,67,62,NA
"77",31664741010690,31664740010690,2002,8,1,41,89061,"2",1,1,221,221,221,1,99,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,45.0947,22,28,22,NA
"78",31664742010690,31664740010690,2002,8,1,41,89061,"2",2,1,221,221,221,2,121,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,183.6046,85,87,85,NA
"79",3646732010690,3646731010690,2002,8,1,41,89348,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",3646738010690,3646737010690,2002,8,1,41,90281,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",3646744010690,3646743010690,2002,8,1,41,90443,"2",1,1,221,221,221,1,100,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,63.353,60,60,60,NA
"82",3646762010690,3646761010690,2002,8,1,41,90512,"2",1,1,221,221,221,1,85,1,3,0,NA,NA,NA,NA,NA,10,2000,0,NA,NA,NA,62.7969,41,41,41,NA
"83",3646784010690,3646783010690,2002,8,1,41,90610,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",3646790010690,3646789010690,2002,8,1,41,91135,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",3646796010690,3646795010690,2002,8,1,41,91198,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",3647707010690,3647706010690,2002,8,1,47,80806,"2",1,1,281,281,281,1,92,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,149.0685,71,73,71,NA
"87",3647806010690,3647805010690,2002,8,1,47,82875,"2",1,1,266,266,266,1,131,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,246.5745,55,57,55,NA
"88",3647916010690,3647915010690,2002,8,1,47,84300,"2",1,1,901,901,901,1,14,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,64.1899,51,57,51,NA
"89",3651819010690,3651818010690,2002,8,1,59,80813,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",3651825010690,3651824010690,2002,8,1,59,83169,"2",1,1,221,221,221,1,102,1,3,0,NA,NA,NA,NA,NA,10,2001,0,NA,NA,NA,105.8695,50,50,50,NA
"91",3651864010690,3651863010690,2002,8,1,59,85506,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",3651870010690,3651869010690,2002,8,1,59,86149,"2",1,1,201,201,201,1,126,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,111.2778,62,69,62,NA
"93",3651913010690,3651912010690,2002,8,1,59,86824,"2",1,1,201,201,201,1,76,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,65.5064,46,47,46,NA
"94",3651914010690,3651912010690,2002,8,1,59,86824,"2",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",3651944010690,3651943010690,2002,8,1,59,87327,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",3651950010690,3651949010690,2002,8,1,59,87779,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",3651951010690,3651949010690,2002,8,1,59,87779,"2",2,1,901,901,901,1,5,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,11.5316,33,54,34,NA
"98",3651969010690,3651968010690,2002,8,1,59,88008,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",31667654010690,31667653010690,2002,8,1,59,89610,"2",1,1,999,221,999,1,0,5,0,32,2002,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,19,0,NA
"100",3652245010690,3652244010690,2002,8,1,65,80303,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",3652246010690,3652244010690,2002,8,1,65,80303,"2",2,1,901,901,901,1,119,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,150.5074,88,93,88,NA
"102",3652276010690,3652275010690,2002,8,1,65,82567,"2",1,1,901,901,901,1,25,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9.0668,48,48,48,NA
"103",31667869010690,31667868010690,2002,8,1,65,83952,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",3652298010690,3652297010690,2002,8,1,65,85212,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",31667996010690,31667995010690,2002,8,1,65,85692,"2",1,1,265,265,265,1,265,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,101.5379,32,32,32,NA
"106",3652304010690,3652303010690,2002,8,1,65,87296,"2",1,1,265,265,265,1,109,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,337.3304,80,98,80,NA
"107",3652305010690,3652303010690,2002,8,1,65,87296,"2",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",3652422010690,3652421010690,2002,8,1,65,90750,"2",1,1,265,265,265,1,111,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,126.667,42,47,42,NA
"109",3653078010690,3653077010690,2002,8,1,69,80130,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",3653084010690,3653083010690,2002,8,1,69,80201,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",3653090010690,3653089010690,2002,8,1,69,80814,"2",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",3653096010690,3653095010690,2002,8,1,69,81769,"2",1,1,266,265,266,1,173,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,140.9106,46,60,46,NA
"113",3653146010690,3653145010690,2002,8,1,69,81799,"2",1,1,266,268,266,1,87,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,136.3227,68,76,68,NA
"114",3653234010690,3653233010690,2002,8,1,69,81830,"2",1,1,999,182,999,1,0,5,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9.7697,15,15,15,NA
"115",3653235010690,3653233010690,2002,8,1,69,81830,"2",2,1,703,703,999,1,94,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,30,30,30,NA
"116",3653236010690,3653233010690,2002,8,1,69,81830,"2",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",3653248010690,3653247010690,2002,8,1,69,82708,"2",1,1,281,266,281,1,12,3,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,51.8449,26,26,26,NA
"118",3653300010690,3653299010690,2002,8,1,69,82897,"2",1,1,268,268,268,1,102,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,134.2809,53,63,53,NA
"119",3653301010690,3653299010690,2002,8,1,69,82897,"2",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",3653359010690,3653358010690,2002,8,1,69,82959,"2",1,1,201,201,201,1,90,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,125.3722,76,81,76,NA
"121",3653360010690,3653358010690,2002,8,1,69,82959,"2",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",3653393010690,3653392010690,2002,8,1,69,83027,"2",1,1,221,221,221,1,211,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,100.0473,21,25,21,NA
"123",3653443010690,3653442010690,2002,8,1,69,83476,"2",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",3653449010690,3653448010690,2002,8,1,69,83865,"2",1,1,281,281,281,1,14,3,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,31.5602,15,26,29,NA
"125",3653450010690,3653448010690,2002,8,1,69,83865,"2",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",3653451010690,3653448010690,2002,8,1,69,83865,"2",3,1,266,265,266,1,158,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,234.2969,55,90,55,NA
"127",3653510010690,3653509010690,2002,8,1,69,83881,"2",1,1,999,221,999,1,0,5,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5.0468,11,11,5,NA
"128",3653520010690,3653519010690,2002,8,1,69,83917,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",3653526010690,3653525010690,2002,8,1,69,84056,"2",1,1,281,281,281,1,105,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,180.6547,69,75,69,NA
"130",3653606010690,3653605010690,2002,8,1,69,84100,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",3653612010690,3653611010690,2002,8,1,69,84706,"2",1,1,221,221,221,1,100,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,62.7853,66,68,66,NA
